Player,Squad,Pos,Min,90s,Gls,xG,Ast,xAG,SoT,KP,Attacking_Efficiency,Defensive_Efficiency,Goals_p90,xG_p90,Assists_p90,xAG_p90,SoT_p90,KeyPasses_p90,Goals_Added
Dor Turgeman,New England Revolution,ST,166,1.84,0,0.1621,0,0.0,1,0,4.14,36.69,0.0,0.088,0.0,0.0,0.542,0.0,0.13
Pedro Soma,San Diego FC,CM,124,1.38,0,0.0,0,0.3513,0,1,4.12,39.58,0.0,0.0,0.0,0.255,0.0,0.726,0.064
Griffin Yow,New England Revolution,W,160,1.78,0,0.3289,0,0.0,2,0,4.11,18.82,0.0,0.185,0.0,0.0,1.125,0.0,-0.222
Brandon Bye,Portland Timbers FC,FB,286,3.18,0,0.096,0,0.4005,0,3,4.11,28.84,0.0,0.03,0.0,0.126,0.0,0.944,0.016
Yannick Bright,Inter Miami CF,DM,282,3.13,0,0.032100000000000004,0,0.1283,0,3,4.09,37.42,0.0,0.01,0.0,0.041,0.0,0.957,0.063
Kosi Thompson,Toronto FC,CB,153,1.7,0,0.0,0,0.0,0,0,4.07,47.58,0.0,0.0,0.0,0.0,0.0,0.0,0.434
Mamadou Fofana,New England Revolution,CB,97,1.08,0,0.0,0,0.0704,0,1,4.03,31.81,0.0,0.0,0.0,0.065,0.0,0.928,0.057
Sergi Palencia,Los Angeles FC,FB,296,3.29,0,0.21330000000000002,0,0.1221,0,3,4.02,32.28,0.0,0.065,0.0,0.037,0.0,0.912,0.02
Dieng Mamadou,Minnesota United FC,W,34,0.38,0,0.1811,0,0.0,0,0,4.02,26.54,0.0,0.479,0.0,0.0,0.0,0.0,0.029
Daniel Ríos,CF Montréal,ST,103,1.14,0,0.0,0,0.1242,0,1,4.01,34.9,0.0,0.0,0.0,0.109,0.0,0.874,0.052
Ronaldo Vieira,San Jose Earthquakes,DM,165,1.83,0,0.060500000000000005,0,0.088,0,1,4.01,37.13,0.0,0.033,0.0,0.048,0.0,0.545,0.172
Kwaku Agyabeng,Sporting Kansas City,ST,86,0.96,0,0.0,0,0.15860000000000002,0,1,3.98,34.27,0.0,0.0,0.0,0.166,0.0,1.047,-0.042
Olwethu Makhanya,Philadelphia Union,CB,195,2.17,0,0.0,0,0.0,0,0,3.96,45.91,0.0,0.0,0.0,0.0,0.0,0.0,0.408
Luca Petrasso,CF Montréal,FB,103,1.14,0,0.0,0,0.09670000000000001,0,1,3.92,27.47,0.0,0.0,0.0,0.084,0.0,0.874,0.043
Kamal Miller,Portland Timbers FC,CB,126,1.4,0,0.0,0,0.0,0,0,3.91,48.71,0.0,0.0,0.0,0.0,0.0,0.0,0.397
Alexandros Katranis,Real Salt Lake,FB,103,1.14,0,0.0,0,0.1274,0,1,3.9,31.15,0.0,0.0,0.0,0.111,0.0,0.874,0.028
Dante Polvara,St. Louis City SC,CB,285,3.17,0,0.4086,0,0.0,0,0,3.88,44.81,0.0,0.129,0.0,0.0,0.0,0.0,0.286
Nouhou,Seattle Sounders FC,FB,318,3.53,0,0.0126,0,0.0,0,0,3.85,43.89,0.0,0.004,0.0,0.0,0.0,0.0,0.382
Matti Peltola,D.C. United,CM,291,3.23,0,0.0,0,0.2963,0,4,3.85,27.69,0.0,0.0,0.0,0.092,0.0,1.237,-0.107
Jaziel Orozco,St. Louis City SC,CB,299,3.32,0,0.0398,0,0.386,0,2,3.83,38.67,0.0,0.012,0.0,0.116,0.0,0.602,0.098
Nolan Miller,Orlando City SC,CB,218,2.42,0,0.0893,0,0.0,0,0,3.82,46.35,0.0,0.037,0.0,0.0,0.0,0.0,0.347
Matty Longstaff,CF Montréal,DM,223,2.48,0,0.0,0,0.0,0,0,3.81,46.76,0.0,0.0,0.0,0.0,0.0,0.0,0.377
Ronald Hernández,Atlanta United FC,FB,163,1.81,0,0.0,0,0.056900000000000006,0,2,3.74,26.05,0.0,0.0,0.0,0.031,0.0,1.104,-0.055
Braian Ojeda,Orlando City SC,CM,312,3.47,0,0.09040000000000001,0,0.0,0,0,3.71,46.37,0.0,0.026,0.0,0.0,0.0,0.0,0.332
